hall_id,result_date,avg_diff,total_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
kawasaki_bellcity,2026-01-08,-147,-31311,3509,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-01-18,-189,-40257,4566,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-01-28,-317,-67521,3075,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-02-08,322,68586,4319,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-02-18,115,24495,3603,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-02-28,-297,-63261,4360,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-03-08,-395,-84135,4279,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-03-18,61,12993,3807,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-03-28,-364,-77532,4126,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-04-08,-46,-9798,4641,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-04-18,-206,-43878,5127,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-04-28,-104,-22152,4570,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-05-08,-127,-27051,4765,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-05-18,292,62196,4342,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-05-28,79,16827,3701,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-06-08,191,40683,4095,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-06-18,-39,-8307,3906,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-06-28,-102,-21726,5500,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2026-07-08,170,36210,4923,,,213,slorepo_complete_8day_sample
kawasaki_bellcity,2024-07-14,93,,7032,0.3427230046948357,73,213,minrepo_anniversary_history
kawasaki_bellcity,2025-07-14,595,126825,7246,,,213,minrepo_anniversary_history
